WMO ID,DATA TIMESTAMP,EVAPORATION 24HOURS MM EEE,RAINFALL 24H RRRR,TEMP DRYBULB C TTTTTT,WIND SPEED FF,RELATIVE HUMIDITY PC,PRESSURE QFF MB DERIVED
96595,2015-06-20 11:00:00.0 +0:00,,,28.8,0.0,75.5,1009.5
96595,2020-11-02 10:00:00.0 +0:00,,,29.4,0.0,84.0,1009.3
96595,2015-05-09 14:00:00.0 +0:00,,,25.0,0.0,95.2,1011.4
96595,2021-04-19 14:00:00.0 +0:00,,,25.0,0.0,94.0,1010.4
96595,2021-12-04 21:00:00.0 +0:00,,,24.6,0.0,93.0,1010.3
96595,2020-03-16 07:00:00.0 +0:00,,,34.2,3.0,58.0,1008.2
96595,2022-12-05 08:00:00.0 +0:00,,,32.6,3.0,61.0,1005.7
96595,2023-04-24 15:00:00.0 +0:00,,,28.2,0.0,88.0,1009.3
96595,2017-04-23 05:00:00.0 +0:00,,,31.7,0.0,68.3,1010.6
96595,2020-04-06 09:00:00.0 +0:00,,,29.6,0.0,82.0,1007.2
96595,2019-08-18 03:00:00.0 +0:00,,,29.3,5.0,72.0,1013.5
96595,2016-11-30 06:00:00.0 +0:00,,,29.4,5.0,77.0,1011.2
96595,2019-02-09 21:00:00.0 +0:00,,,23.4,0.0,98.0,1013.6
96595,2020-06-09 18:00:00.0 +0:00,,,24.2,0.0,94.0,1011.9
96595,2020-12-27 02:00:00.0 +0:00,,,28.6,0.0,79.0,1011.6
96595,2015-06-04 03:00:00.0 +0:00,,,30.4,0.0,74.3,1011.9
96595,2021-04-12 23:00:00.0 +0:00,,,24.4,0.0,95.0,1012.8
96595,2017-10-01 00:00:00.0 +0:00,8.0,17.5,24.7,0.0,94.4,1013.1
96595,2016-04-03 07:00:00.0 +0:00,,,30.1,4.0,78.0,1010.1
96645,2021-07-27 03:00:00.0 +0:00,,,29.2,5.0,74.0,1011.4
96645,2021-08-10 20:00:00.0 +0:00,,,24.4,0.0,97.0,1010.9
96645,2021-11-09 18:00:00.0 +0:00,,,25.6,3.0,94.0,1008.6
96645,2021-06-27 08:00:00.0 +0:00,,,26.4,4.0,94.0,1008.6
96645,2016-06-07 14:00:00.0 +0:00,,,27.5,0.0,92.5,1011.2
96645,2017-11-23 18:00:00.0 +0:00,,,24.2,0.0,96.7,1007.2
96645,2022-04-24 18:00:00.0 +0:00,,,25.2,0.0,98.0,1007.3
96645,2022-12-02 08:00:00.0 +0:00,,,24.6,5.0,97.0,1005.1
96645,2018-08-15 17:00:00.0 +0:00,,,24.3,3.0,90.4,1010.2
